user_id,user_age,Sexo,codigo_sexo,nombre_cancion,Codigo_cancion,codigo_parrafo_cuerpo,Grado_cuerpo
405310030,35,Chica,1,How Long,,0,0
405310030,35,Chica,1,Perfect Duet,,1,3
405310030,35,Chica,1,Espectacular,,0,0
514577593,18,Chico,0,Échame La Culpa,,2,3
514577593,18,Chico,0,Súbeme La Radio,10008,0,0
514577593,18,Chico,0,Corazón,10003,0,0
514577593,18,Chico,0,Despacito,10007,4,9
393673671,23,Chico,0,Corazón,,5,10
41432574,37,Chica,1,Guerrera,,3,10
500737046,27,Chico,0,Súbeme La Radio,10008,0,0
5913140,26,Chica,1,Saturno,,1,3
166363070,23,Chica,1,Deja Que Te Bese,,1,10
,,,,,,2
,,,,,,3
,,,,,,4
429520994,31,Chico,0,No Vaya A Ser,,0,0
429520994,31,Chico,0,Espectacular,,0,0
210964221,40,Chica,1,Échame La Culpa,,0,0
372575495,27,Chica,1,El Patio,,0,0
470682426,46,Chico,0,Mayores,,7,10
4510614,35,Chico,0,Mayores,,2,10
,,,,,,3
,,,,,,4
,,,,,,6
,,,,,,7
32849547,33,Chico,0,Mayores,,0,0
45254362,35,Chica,1,"Yo Contigo, Tú Conmigo (The Gong Gong Song)",,0,0
115658979,25,Chica,1,Échame La Culpa,,1,1
492729980,24,Chica,1,Déjate Llevar,10006,2,9
7846574,42,Chica,1,"Yo Contigo, Tú Conmigo (The Gong Gong Song)",30002,1,9
,,,,,,3
281082907,15,Chico,0,Mayores,10005,1,10
388019140,16,Chico,0,El Patio,20011,0,0
388019140,16,Chico,0,Déjate Llevar,10006,0,0
388019140,16,Chico,0,Míranos,30003,0,0
440295695,15,Chico,0,Échame La Culpa,10000,1,5
,,,,,,2
,,,,,,3
430667407,16,Chico,0,Corazón,10003,1,7
,,,,,,2
,,,,,,4
494681716,16,Chico,0,24K Magic,20014,2,3
,,,,,,3
494681716,16,Chico,0,Échame La Culpa,10000,2,8
,,,,,,3
,,,,,,4
511692637,15,Chico,0,Corazón,10003,0,0
85233041,25,Chica,1,Saturno,20013,0,0
493889538,41,Chica,1,Corazón,10003,0,0
77938606,33,Chico,0,Súbeme La Radio,10008,0,0
77938606,33,Chico,0,Deja Que Te Bese,30000,3,10
194643121,44,Chico,0,Espectacular,30001,5,10
446747853,20,Chica,1,Échame La Culpa,10000,1,7
489327083,23,Chica,1,No Vaya A Ser,20012,0,0
17149787,45,Chico,0,Perfect Strangers,20018,0,0
480450152,15,Chica,1,Tip Toe,20007,3,5
,,,,,,4
197254286,30,Chico,0,Espectacular,20020,0,0
513594025,51,Chica,1,Saturno,20013,2,2
513594025,51,Chica,1,Despacito,10007,8,10
545227712,15,Chica,1,Espectacular,30001,0,0
545227712,15,Chica,1,Mayores,10005,0,0
12948877,46,Chico,0,Corazón,10003,0,0
243084571,27,Chico,0,24K Magic,20014,0,0
459450208,21,Chico,0,Perro Fiel,10001,0,0
487216933,24,Chico,0,Espectacular,30001,3,5
,,,,,,5
393042666,13,Chico,0,Mi Gente (feat. Beyoncé),10004,1,10
,,,,,,2
,,,,,,3
,,,,,,4
,,,,,,5
,,,,,,6
4063874,37,Chica,1,Mi Gente (feat. Beyoncé),10004,0,0
444592711,41,Chico,0,Despacito,10007,2,7
,,,,,,3
,,,,,,6
,,,,,,7
396749095,19,Chico,0,Wolves,20003,3,1
396749095,19,Chico,0,Deja Que Te Bese,30000,1,1
92458213,21,Chica,1,Perfect Strangers,20018,0,0
313183839,69,Chica,1,Déjate Llevar,10006,0,0
313183839,69,Chica,1,Deja Que Te Bese,30000,0,0
