Codigo_cancion,Name_song,Genero,Artista,user_id,user_age,analisis,valid
20000,Perfect Duet,pop,Ed Sheeran & Beyonce,405310030,35,1,0
20001,Havana,pop,Camila Cabello,500737046,27,1,0
20002,What Lovers Do,pop,Maroon 5,0,0,0,0
20003,Wolves,pop,Selena Gomez & Marshmello,396749095,19,1,0
20004,How Long,pop,Charlie Puth,405310030,35,1,0
20005,New Rules,pop,Dua Lipa,0,0,0,0
20006,Dusk Till Dawn,pop,ZAYN,0,0,0,0
20007,Tip Toe,pop,Jason Derulo,480450152,15,1,0
20008,Anywhere,pop,Rita Ora,0,0,0,0
20009,Guerrera,pop,C. Tangana,41432574,37,1,0
20010,Guerrera,pop,C. Tangana,0,0,0,0
20011,El Patio,pop,Pablo López,372575495,27,2,0
20011,El Patio,pop,Pablo López,388019140,16,2,0
20012,No Vaya A Ser,pop,Pablo Alborán,429520994,31,2,0
20012,No Vaya A Ser,pop,Pablo Alborán,489327083,23,2,0
20013,Saturno,pop,Pablo Alborán,5913140,26,3,0
20013,Saturno,pop,Pablo Alborán,85233041,25,3,0
20013,Saturno,pop,Pablo Alborán,513594025,51,3,0
20014,24K Magic,pop,Bruno Mars,494681716,16,2,0
20014,24K Magic,pop,Bruno Mars,243084571,27,2,0
20015,Rockabye,pop,Clean Bandit,0,0,0,0
20016,Don't Wanna Know,pop,Maroon 5,0,0,0,0
20017,Lost on You,pop,LP,0,0,0,0
20018,Perfect Strangers,pop,Jonas Blue,500737046,27,3,0
20018,Perfect Strangers,pop,Jonas Blue,17149787,45,3,0
20018,Perfect Strangers,pop,Jonas Blue,92458213,21,3,0
20019,Cómo Te Atreves,pop,Morat,500737046,27,1,0
20020,Espectacular,pop,Fangoria,197254286,30,1,0
